http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,Pollinator Group,Polinator ,Plant,Visitation Rate (visits per hour per plant),Mean Nectar Volume (microlitres),Mean Sugar Concentration (%),Flower Colour,Location,Latitude,Longitude,Source,Title,Plant Native Status,Habitat Type,Successful Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L129,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Leptospermum scoparium,,,,Pink-white,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L130,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Ligustrum sinense,,,,White,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L131,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Liliaceae spp.,,,,NA,Aire; Rei island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",NA,NA,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L132,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Limonium spp.,,,,NA,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,NA,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L133,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Lobularia maritima,,,,Purple-white,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit (High Interaction Rate)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L134,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Lomelosia cretica,,,,Purple,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit (High Interaction Rate)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L135,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Lonicera japonica,,,,NA,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Exotic,Disturbed / riparian,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L136,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Lotus berthelotii ,,13.5,32,Scarlett,Tenerife,28.416778,-16.398944,"Ollerton, 2008",Bird Pollination of Canary Island endemic plants,Native,Botanical garden,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L137,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Lotus glaucus,,,,Yellow,Selvagem Grande,30.1475,-15.865,"Ferreira, 2016",Ferreira et al 2016,Native,NA,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L138,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Gallotia galloti,Lotus maculatus,1.6,5.4,33,Yellow,Tenerife,28.416778,-16.398944,"González-Castro, 2024","Flower-visitng lizards as a key ecological actors for an endemic and critiically endangered plant in the Canary Islands, GALLOTIA GALLOTI (Canary Lizard). NECTARIVORY",Native,Xerophytic shrub,"Effective Pollination (Legitimate visits, positively related to fruit set, carrying pollen)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L139,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Lysimachia arvensis,,,,Orange,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L140,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Malva arborea,,,,Purple,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Pollinator (Quantitatively the most effective; legitimate visits by juveniles and females)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L141,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Malva arborea,24.72,,,Purple,Cabrera Gran,39.142167,2.945194,"Robles, 2024",Vertebrates can be more important pollinators than invertebrates on islands: the case of Malva (=Malva) arborea L..pdf,Native,Coastal / rocky cliffs,Successful Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L142,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia cantillans,Malva arborea,49.86,,,Purple,Cabrera Gran,39.142167,2.945194,"Robles, 2024",Vertebrates can be more important pollinators than invertebrates on islands: the case of Malva (=Malva) arborea L..pdf,,,
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L143,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Malva arborea,,,,Purple,Cabrera Gran,39.142167,2.945194,"Robles, 2024",Vertebrates can be more important pollinators than invertebrates on islands: the case of Malva (=Malva) arborea L..pdf,,,
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L144,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Malva arborea,,,,Purple,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L145,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia communis,Malva arborea,,,,Purple,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L146,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia borin,Malva arborea,,,,Purple,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L147,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Malva arborea ,46.14,,,Purple,Cabrera Gran,39.142167,2.945194,"Robles, 2024",Vertebrates can be more important pollinators than invertebrates on islands: the case of Malva (=Malva) arborea L..pdf,Native,Semidesert,Successful Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L148,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Cyanistes caeruleus,Malva phoenicea ,,112,24,Orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Transition to laurel forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L149,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Malva phoenicea ,,112,24,Orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Transition to laurel forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L150,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia cantillans,Malva phoenicea ,,,,Orange,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L151,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia borin,Malva sylvestris,,,,Purple,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L152,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Medicago arborea,,,,Yellow,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L153,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Medicago littoralis,,,,Yellow,Aire; Rei Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Coastal sandy,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L154,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Melaleuca regulosa,,,,Red-orange,Parque de Santa Catarina,32.645278,-16.914167,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L155,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Mesembrianthemum crystallinum,,,,White,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Coastal scrub,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L156,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Mesembrianthemum crystallinum,,,,White,Selvagem Grande,30.1475,-15.865,"Ferreira, 2016",Ferreira et al 2016,Introduced,Shrubland,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L157,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Musschia aurea,,95,13,Yellow,Madeira,32.690972,-16.801194,"Olsen, 2012","Pollination, biogeography and phylogeny of oceanic island bellflowers (Campanulaceae)",Native,Coastal slope,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L158,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Musschia isambertoi,,,,Yellow,Desertas islands,32.547389,-16.524917,"Sequeira, 2007",Sequeira et al 2007,Native,Rocky areas,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L159,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Musschia wollastonii,,95,12.5,Yellow,Madeira,32.690972,-16.801194,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L160,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Musschia wollastonii,,95,12.5,Yellow,Madeira,32.690972,-16.801194,"Olsen, 2003",Bird Pollination in Madeira Island,Native,Laurel Forest,Potential Pollination (Observed visitation)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L161,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Musschia wollastonii,,,,Yellow,Madeira,32.690972,-16.801194,"Olsen, 2012","Pollination, biogeography and phylogeny of oceanic island bellflowers (Campanulaceae)",Native,Laurel forest,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L162,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Narcissus tazetta,,,,White,Rei Island,39.887167,4.287222,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L163,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Narcissus tazetta,,,,White,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Grasslands / rocky slopes,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L164,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Navaea phoenicea ,0.32,,,Orange,Tenerife,28.416778,-16.398944,"Fernández de Castro, 2017",Ornithophily for the nonspecialist Differential pollination efficiency.pdf,Native,Thermophilous shrubland,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L165,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Navaea phoenicea ,0.5,,,Orange,Tenerife,28.416778,-16.398944,"Fernández de Castro, 2017",Ornithophily for the nonspecialist Differential pollination efficiency.pdf,Native,Thermophilous shrubland,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L166,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Cyanistes teneriffae,Navaea phoenicea ,1.38,,,Orange,Tenerife,28.416778,-16.398944,"Fernández de Castro, 2017",Ornithophily for the nonspecialist Differential pollination efficiency.pdf,Native,Thermophilous shrubland,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L167,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Navaea phoenicea ,1.5,,,Orange,Tenerife,28.416778,-16.398944,"Fernández de Castro, 2017",Ornithophily for the nonspecialist Differential pollination efficiency.pdf,Native,Thermophilous shrubland,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L168,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Nicotiana glauca,,,,Yellow,Funchal,32.644667,-16.924417,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L169,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Nicotiana glauca,,,,Yellow,"Miradouro de S Sebastiao, Ribeira Brava",32.67,-17.062778,Beyhl 1991,Beyhl 1990,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L170,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Olea europaea,,,,White,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Mediterranean woodlands,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L171,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Ononis crispa,,,,Yellow,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Dry coastal,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L172,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Opuntia spp.,,,,NA,"Miradouro de S Sebastiao, Ribeira Brava",32.67,-17.062778,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Native,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L173,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Pancratium maritimum,,,,White,Aire Island; Sanitja Islet,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Coastal sandy,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L174,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Paronychia capitata,,,,White,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit (High Interaction Rate)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L175,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Pelargonium spp.,,,,NA,Funchal,32.644667,-16.924417,Beyhl 1991,Beyhl 1990,Introduced,NA,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L176,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Phalaenopsis spp.,,,,NA,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L177,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Pistacia lentiscus,,,,Red,Aire; Rei Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Maquis and garrigue,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L178,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia communis,Pittosphorum tobira,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Introduced,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L179,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia borin,Pittosphorum tobira,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Introduced,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L180,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Plumbago spp.,,,,NA,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L181,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Poa annua,,,,White,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Disturbed,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L182,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia cantillans,Prunus avium,,,,White,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Introduced,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L183,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Psidium cattleyanum,,,,White,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L184,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Rhamnus alaternus,,,,Yellow,Isle of Capri,40.544278,14.217861,"Calvario, 1989",The Blackcap Sylvia atricapilla and the Garden Warbler Sylvia borin as pollinators Or Rhamnus alaternus (Rhamnaceae).pdf,Native,Woodlands,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L185,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia borin,Rhamnus alaternus ,,,,Yellow,Isle of Capri,40.544278,14.217861,"Calvario, 1989",The Blackcap Sylvia atricapilla and the Garden Warbler Sylvia borin as pollinators Or Rhamnus alaternus (Rhamnaceae).pdf,Native,Woodlands,potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L186,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Rhamnus ludovici-salvatoris,,,,Yellow,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit (Rare dioecious shrub)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L187,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Rhododendron spp.,,,,NA,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L188,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Ricinus communis,,,,Red,"Miradouro de S Sebastiao, Ribeira Brava",32.67,-17.062778,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L189,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Rosa spp.,,,,NA,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L190,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Rubia peregrina,,,,Yellow,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L191,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Ruta graveolens,,,,Yellow,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L192,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Salvia rosmarinus,,,,Purple,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L193,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Salvia rosmarinus,,,,Purple,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L194,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Salvia splendens,,,,Purple,"Garajau, Santa Cruz",32.637028,-16.851194,"Elvers, 1977","Elvers, I. (1977) Flower-visiting lizards on Madeira",Ornamental,NA,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L195,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Schizogoyne sericea,,,,Yellow,Selvagem Grande,30.1475,-15.865,"Ferreira, 2016",Ferreira et al 2016,Macronesia,Shrubland,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L196,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Scrophularia calliantha,23.4,,,Red,Gran Canaria,27.966444,-15.594472,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,Maquis,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L197,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Scrophularia calliantha,23.4,,,Red,Gran Canaria,27.966444,-15.594472,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,Maquis,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L198,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Gallotia stehlini,Scrophularia calliantha,3,,,Red,Gran Canaria,27.966444,-15.594472,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of the largest-flowered Scrophularia of Europe and Macaronesia",Native,Scrubland,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L199,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Scrophularia calliantha ,23.4,,,Red,Gran Canaria,27.966444,-15.594472,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,Maquis,Legitimate Visit (Observed)
