http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,Pollinator Group,Polinator ,Plant,Visitation Rate (visits per hour per plant),Mean Nectar Volume (microlitres),Mean Sugar Concentration (%),Flower Colour,Location,Latitude,Longitude,Source,Title,Plant Native Status,Habitat Type,Successful Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L22,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Bituminaria bituminosa,,,,Purple,"Miradouro de S Sebastiao, Ribeira Brava",32.67,-17.062778,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Native,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L23,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Brassica incana,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L24,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Brassica incana,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L25,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia communis,Brassica incana,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L26,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia borin,Brassica incana,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L27,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Brassica incana,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L28,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia cantillans,Brassica incana,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L29,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia cantillans,Brassica oleracea,5.34,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (a)",Birds outnumber insects in visiting Brassica flowers on Ventotene island (central Mediterranean).pdf,Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L30,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia communis,Brassica oleracea ,5.34,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (a)",Birds outnumber insects in visiting Brassica flowers on Ventotene island (central Mediterranean).pdf,Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L31,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia borin,Brassica oleracea ,5.34,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (a)",Birds outnumber insects in visiting Brassica flowers on Ventotene island (central Mediterranean).pdf,Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L32,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Calendula arvensis,,,,Yellow,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Cultivated fields,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L33,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Calendula arvensis,,,,Yellow,Aire; Rei; Sanitja Island,39.801194,4.290528,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L34,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Canarina canariensis,0.008,53,12.2,Red-orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L35,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Canarina canariensis,0.002,53,12.2,Red-orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L36,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia conspicillata,Canarina canariensis,,53,12.2,Red-orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L37,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Canarina canariensis,,109.8,16.4,Red-orange,Tenerife,28.416778,-16.398944,"Ollerton, 2008",Bird Pollination of Canary Island endemic plants,Native,Laurel forest (High-altitude),Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L38,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Cyanistes teneriffae,Canarina canariensis,,86.8,14,Red-orange,Tenerife,28.416778,-16.398944,"Rodriguez-Rodriguez, 2011",Consequences of plant-pollinator and floral-herbivore interactions on the reproductive success of the Canary Islands endemic Canarina canariensis (Campanulaceae),Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L39,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Canarina canariensis,,86.8,14,Red-orange,Tenerife,28.416778,-16.398944,"Rodriguez-Rodriguez, 2011",Consequences of plant-pollinator and floral-herbivore interactions on the reproductive success of the Canary Islands endemic Canarina canariensis (Campanulaceae),Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L40,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Gallotia galloti,Canarina canariensis,,,,Red-orange,Tenerife,28.416778,-16.398944,"Rodriguez-Rodriguez, 2011",Consequences of plant-pollinator and floral-herbivore interactions on the reproductive success of the Canary islands endemic Canarina canariensis (Campanulaceae),Native,Thermosclerophyllous woodland relicts,"Pollination/Legitimate Visit (Minor role, interactions seemed legitimate, lizard contacted stigmas)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L41,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Canarina canariensis ,,,,Red-orange,"Baranco del Infierno, Adeje, Tenerife",28.126167,-16.721944,"Olsen, 1985",The Macaronesian bird-flower element and its relation to bird and bee opportunists .pdf,Native,Laurel forest (High-altitude),Nectarivory (potential pollination)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L42,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Canarina canariensis ,,,,Red-orange,"Baranco del Infierno, Adeje, Tenerife",28.126167,-16.721944,"Olsen, 1985",The Macaronesian bird-flower element and its relation to bird and bee opportunists .pdf,Native,Laurel forest (High-altitude),Nectarivory (potential pollination)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L43,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia conspicillata,Canarina canariensis ,,,,Red-orange,"Baranco del Infierno, Adeje, Tenerife",28.126167,-16.721944,"Olsen, 1985",The Macaronesian bird-flower element and its relation to bird and bee opportunists .pdf,Native,Laurel forest (High-altitude),Nectarivory (potential pollination)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L44,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Capparix inermis,,,,White,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Coastal scrub,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L45,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Capscium annum,,,,White,Caminho de Ladeira,32.667222,-16.938611,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L46,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Carlina corymbosa,,,,Yellow,Aire; Rei Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Dry grasslands / rocky slopes / open scrub,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L47,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Carpobrotus edulis,,,,Purple,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L48,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Centrathus calcitrapae,,,,Pink-white,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L49,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Chenopodium murale,,,,White,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Disturbed,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L50,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Cistus monspeliensis,,,,White,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,"Legitimate Visit (Quantitatively important interaction, potential pollination)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L51,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Cneorum tricoccon,0.95,0.625,>50,Yellow,"Sa Dragonera Natural Park, Balearic Islands","39.583333,",2.316667,"Fuster, 2020",Importance of intraspecific variation in the pollination and seed dispersal functions of a double mutualist animal species.,Native,Mediterranean shrub,"Legitimate Pollinator (Contributes significantly to pollination, constitutes a double mutualism)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L52,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Compositae spp.,,,,NA,Aire; Rei Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",NA,NA,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L53,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Crithmum maritimum,,,,Yellow,Aire Island; Sanitja Islet,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Coastal,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L54,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Crithmum maritimum,,,,Yellow,"Lido, Funchal",32.636389,-16.934444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Native,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L55,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Crithmum maritimum,,,,Yellow,Santija Islet,40.092561,4.07567,"Peréz-Mellado, 1997",Pollination by a Lizard on a Mediterranean Island,Native,Coastal Islet,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L56,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Cynara cardunculus,,,,Purple,NA,NA,NA,Beyhl 1991,Beyhl 1990,Native,Scrubland,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L57,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Daphne rodriguezii,,,,Pink-white,"Colom, Menorca",39.958,4.278,"Calviño-Cancela, 2012","The role of seed dispersal, pollination and historical effects on genetic patterns of an insular plant that has lost its only seed disperser",Native,Coastal shrub,Potential Pollinator
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L58,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Daucus carota,,,,White,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,"Legitimate Visit (High Interaction Rate, potential pollination)"
